DRUG_NAME,accuracy,precision,recall,f1,roc_auc
PRIMA-1MET,0.6856060606060606,0.6666666666666666,0.5689655172413793,0.6139534883720931,0.7368942218080149
POMHEX,0.6699029126213593,0.7083333333333334,0.6296296296296297,0.6666666666666666,0.7348828420256992
Luminespib,0.6883561643835616,0.6793893129770993,0.644927536231884,0.6617100371747212,0.733107472237907
Eg5_9814,0.66,0.6363636363636364,0.6086956521739131,0.6222222222222222,0.732487922705314
Picolinici-acid,0.7099236641221374,0.7321428571428571,0.640625,0.6833333333333333,0.7322761194029851
AGI-6780,0.7099236641221374,0.6964285714285714,0.65,0.6724137931034483,0.7321596244131455
EPZ5676,0.6952054794520548,0.7674418604651163,0.6265822784810127,0.6898954703832753,0.730658416776875
RVX-208,0.7022900763358778,0.6491228070175439,0.6607142857142857,0.6548672566371682,0.7305952380952381
Paclitaxel,0.6952054794520548,0.6946564885496184,0.65,0.6715867158671587,0.7296992481203007
GSK2606414,0.6793893129770993,0.6964285714285714,0.609375,0.65,0.7291277985074627
AMG-319,0.7127659574468085,0.7723577235772358,0.6418918918918919,0.7011070110701108,0.7288473174667205
Camptothecin,0.7157534246575342,0.7364341085271318,0.6597222222222222,0.6959706959706959,0.727735548048048
Bromosporine,0.6666666666666666,0.6046511627906976,0.6190476190476191,0.611764705882353,0.7270258980785296
PD0325901,0.6678082191780822,0.689922480620155,0.6095890410958904,0.6472727272727272,0.726027397260274
PD173074,0.6746575342465754,0.6842105263157895,0.6319444444444444,0.6570397111913358,0.725975975975976
Serdemetan,0.6678321678321678,0.76,0.59375,0.6666666666666666,0.7258680555555557
MIRA-1,0.702054794520548,0.751937984496124,0.6381578947368421,0.6903914590747331,0.7231907894736842
GSK3337463A,0.6767676767676768,0.6976744186046512,0.6122448979591837,0.6521739130434783,0.7223469387755102
Oxaliplatin,0.6746575342465754,0.7952755905511811,0.5941176470588235,0.6801346801346801,0.7215766634522661
MK-1775,0.6952054794520548,0.7251908396946565,0.6418918918918919,0.6810035842293907,0.7195007507507507
Wee1 Inhibitor,0.6815068493150684,0.7557251908396947,0.61875,0.6804123711340206,0.7194128787878787
AZD7762,0.6746575342465754,0.7099236641221374,0.62,0.6619217081850534,0.7191549295774647
765771,0.6616161616161617,0.6823529411764706,0.5918367346938775,0.6338797814207651,0.7187755102040816
Lestaurtinib,0.6888111888111889,0.7480314960629921,0.625,0.6810035842293907,0.7185536135113906
ZM447439,0.7077464788732394,0.7322834645669292,0.6549295774647887,0.6914498141263941,0.7185082324935529
AGI-5198,0.6472602739726028,0.6412213740458015,0.6,0.6199261992619927,0.717857142857143
GSK-LSD1,0.6767676767676768,0.5813953488372093,0.6410256410256411,0.6097560975609756,0.7178418803418803
BPD-00008900,0.6619047619047619,0.6565656565656566,0.6372549019607843,0.6467661691542289,0.7166394335511983
PCI-34051,0.6870229007633588,0.7090909090909091,0.609375,0.6554621848739496,0.7163013059701493
Avagacestat,0.6538461538461539,0.8110236220472441,0.5786516853932584,0.6754098360655738,0.7147315855181025
AZD6738,0.6815068493150684,0.6641221374045801,0.6397058823529411,0.651685393258427,0.7143429487179487
Gemcitabine,0.6931034482758621,0.696,0.6304347826086957,0.6615969581749049,0.710693173150267
PRT062607,0.6641221374045801,0.6964285714285714,0.5909090909090909,0.639344262295082,0.71002331002331
CCT007093,0.721830985915493,0.76,0.6597222222222222,0.7063197026022305,0.7085317460317461
5-Fluorouracil,0.6678082191780822,0.7557251908396947,0.6036585365853658,0.6711864406779661,0.7083650914634145
Gallibiscoquinazole,0.6616161616161617,0.6823529411764706,0.5918367346938775,0.6338797814207651,0.7075510204081632
Nutlin-3a (-),0.660958904109589,0.7054263565891473,0.5986842105263158,0.6476868327402135,0.7070253759398497
5-azacytidine,0.6553398058252428,0.6494845360824743,0.63,0.6395939086294417,0.7063679245283019
Ribociclib,0.6793103448275862,0.7606837606837606,0.577922077922078,0.6568265682656826,0.7050945378151261
BMS-345541,0.6590909090909091,0.7142857142857143,0.5797101449275363,0.64,0.7043363239015413
VE821,0.6958041958041958,0.7007874015748031,0.644927536231884,0.6716981132075471,0.7037553858206032
Refametinib,0.6328671328671329,0.664,0.5684931506849316,0.6125461254612546,0.7033268101761253
P22077,0.6952054794520548,0.7557251908396947,0.6346153846153846,0.6898954703832753,0.7030307315233786
Selumetinib,0.613013698630137,0.6511627906976745,0.5526315789473685,0.597864768683274,0.7025140977443609
Rapamycin,0.6328671328671329,0.6260162601626016,0.5661764705882353,0.5945945945945946,0.7024754901960784
667880,0.6818181818181818,0.7294117647058823,0.6078431372549019,0.6631016042780749,0.7021037581699346
KRAS (G12C) Inhibitor-12,0.6374045801526718,0.6370370370370371,0.6515151515151515,0.6441947565543071,0.7015734265734266
OTX015,0.6717557251908397,0.625,0.6140350877192983,0.6194690265486725,0.7008653390232337
ML323,0.7022900763358778,0.7142857142857143,0.6349206349206349,0.6722689075630253,0.7005718954248366
BDILV000379a,0.6565656565656566,0.6666666666666666,0.5833333333333334,0.6222222222222222,0.7002655228758169
Ruxolitinib,0.6590909090909091,0.6785714285714286,0.5846153846153846,0.628099173553719,0.6997129735935705
50869,0.6616161616161617,0.6235294117647059,0.6022727272727273,0.6127167630057804,0.6990702479338843
Fludarabine,0.6464646464646465,0.6923076923076923,0.54,0.6067415730337079,0.698469387755102
Erlotinib,0.6472602739726028,0.7235772357723578,0.5632911392405063,0.6334519572953736,0.6981154354808238
Obatoclax Mesylate,0.618421052631579,0.6,0.5833333333333334,0.5915492957746479,0.6977237654320987
AZD5153,0.6237623762376238,0.6,0.574468085106383,0.5869565217391305,0.6975965327029157
Dabrafenib,0.6678321678321678,0.7244094488188977,0.6052631578947368,0.6594982078853047,0.6974420659858602
Tamoxifen,0.6472602739726028,0.6793893129770993,0.5933333333333334,0.6334519572953736,0.6967840375586855
VE-822,0.6564885496183206,0.625,0.5932203389830508,0.6086956521739131,0.6962688323917138
RO-3306,0.6584507042253521,0.712,0.5933333333333334,0.6472727272727272,0.6962189054726369
